Answer,Score,First Guess,Second Guess,Third Guess,Fourth Guess,Fifth Guess,Sixth Guess
swash,False,salet,wimpy,vying,vying,vying,vying
mower,False,salet,vying,vying,vying,vying,vying
dairy,False,salet,vying,quick,jumpy,fjord,fjord
swine,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
dream,False,salet,jumpy,quick,quick,quick,quick
swarm,False,salet,quick,quick,quick,quick,quick
ultra,False,salet,quick,quick,fjord,fjord,fjord
gusty,False,salet,fjord,fjord,fjord,fjord,fjord
badge,False,salet,fjord,vying,winch,winch,winch
crawl,False,salet,winch,nymph,nymph,nymph,nymph
bugle,False,salet,nymph,nymph,nymph,nymph,nymph
gusty,False,salet,nymph,nymph,nymph,fjord,fjord
grind,False,salet,fjord,quick,quick,quick,buxom
rumba,False,salet,buxom,buxom,fjord,fjord,fjord
snoop,False,salet,winch,winch,fjord,fjord,fjord
groan,False,salet,quick,quick,quick,quick,quick
vomit,False,salet,quick,quick,fjord,fjord,fjord
clone,False,salet,nymph,nymph,fjord,quick,quick
glare,False,salet,fjord,jumpy,jumpy,jumpy,jumpy
urban,False,salet,jumpy,jumpy,jumpy,nymph,nymph
slump,False,salet,fjord,fjord,fjord,fjord,fjord
denim,False,salet,fjord,fjord,nymph,nymph,fjord
boast,False,salet,quick,quick,quick,quick,quick
admit,False,salet,quick,quick,fjord,fjord,nymph
aping,False,salet,nymph,jumpy,fjord,fjord,fjord
dogma,False,salet,fjord,quick,quick,quick,quick
oxide,False,salet,quick,quick,quick,jumpy,jumpy
spank,False,salet,jumpy,jumpy,fjord,fjord,fjord
fjord,2,salet,fjord,,,,
boney,False,salet,quick,quick,quick,quick,quick
buxom,False,salet,quick,quick,fjord,fjord,fjord
thong,False,salet,nymph,fjord,fjord,quick,quick
plaid,False,salet,quick,quick,quick,jumpy,jumpy
gnome,False,salet,fjord,fjord,jumpy,jumpy,jumpy
fable,False,salet,quick,quick,quick,quick,quick
tying,False,salet,quick,jumpy,jumpy,fjord,fjord
young,False,salet,fjord,fjord,quick,quick,quick
hound,False,salet,quick,fjord,nymph,nymph,quick
bough,False,salet,quick,quick,fjord,fjord,nymph
crony,False,salet,nymph,fjord,quick,quick,quick
midge,False,salet,quick,fjord,nymph,nymph,fjord
humid,False,salet,quick,fjord,nymph,fjord,fjord
usage,False,salet,nymph,nymph,nymph,nymph,nymph
saint,False,salet,nymph,fjord,fjord,fjord,fjord
miner,False,salet,fjord,fjord,jumpy,quick,quick
shout,False,salet,jumpy,jumpy,nymph,nymph,fjord
rhyme,False,salet,fjord,fjord,nymph,vying,quick
