Correct Word,Number of Guesses,1st Guess,2nd Guess,3rd Guess,4th Guess,5th Guess,6th Guess
hobby,3,salet,bingo,hobby,,,
sniff,4,salet,scion,shiny,sniff,,
check,4,salet,begin,chore,check,,
erode,6,salet,begin,chore,froze,prove,erode
chute,4,salet,berth,white,chute,,
caput,2,salet,caput,,,,
cheer,5,salet,brief,poker,under,cheer,
slimy,3,salet,scold,slimy,,,
banjo,3,salet,bacon,banjo,,,
binge,3,salet,begin,binge,,,
demur,4,salet,begin,decor,demur,,
cable,4,salet,early,fable,cable,,
helix,3,salet,bilge,helix,,,
guise,3,salet,chose,guise,,,
fibre,4,salet,begin,imbue,fibre,,
dowel,5,salet,cruel,hovel,model,dowel,
louse,3,salet,close,louse,,,
needy,4,salet,begin,nerdy,needy,,
crypt,2,salet,crypt,,,,
expel,5,salet,cruel,hovel,impel,expel,
fleck,4,salet,lemon,clerk,fleck,,
anger,4,salet,abbey,aider,anger,,
cello,4,salet,bilge,welch,cello,,
bevel,4,salet,cruel,hovel,bevel,,
labor,3,salet,carol,labor,,,
femur,4,salet,begin,decor,femur,,
batch,3,salet,baton,batch,,,
ghost,3,salet,crust,ghost,,,
rehab,4,salet,abide,zebra,rehab,,
idyll,4,salet,blimp,girly,idyll,,
comic,5,salet,bingo,ivory,opium,comic,
bleep,4,salet,cruel,liken,bleep,,
bowel,5,salet,cruel,hovel,model,bowel,
fiber,3,salet,brief,fiber,,,
brawl,4,salet,aloud,final,brawl,,
piper,5,salet,brief,cider,viper,piper,
gully,6,salet,filmy,bulky,pulpy,dully,gully
cabal,5,salet,carol,cavil,canal,cabal,
brunt,3,salet,doubt,brunt,,,
ninny,6,salet,bingo,finch,pinky,windy,ninny
fuzzy,4,salet,bingo,crump,fuzzy,,
blade,5,salet,agile,blame,blare,blade,
spill,5,salet,scold,surly,skill,spill,
glory,4,salet,blimp,cloud,glory,,
copse,3,salet,chose,copse,,,
deity,3,salet,berth,deity,,,
brief,2,salet,brief,,,,
bland,4,salet,aloud,gland,bland,,
motto,5,salet,botch,motif,motor,motto,
booze,4,salet,begin,broke,booze,,
opium,4,salet,bingo,ivory,opium,,
blank,5,salet,aloud,flair,black,blank,
slain,4,salet,scalp,shawl,slain,,
demur,4,salet,begin,decor,demur,,
gayly,4,salet,carol,gaily,gayly,,
risky,3,salet,bison,risky,,,
graze,5,salet,abide,chafe,grave,graze,
foray,3,salet,abhor,foray,,,
cable,4,salet,early,fable,cable,,
rivet,3,salet,unmet,rivet,,,
silky,3,salet,sulky,silky,,,
lapel,5,salet,lager,laden,label,lapel,
graph,4,salet,abhor,charm,graph,,
crimp,4,salet,bingo,chirp,crimp,,
juicy,4,salet,bingo,chirp,juicy,,
queue,4,salet,begin,chore,queue,,
seven,5,salet,shied,sober,semen,seven,
forum,4,salet,bingo,chord,forum,,
flare,5,salet,agile,blame,flake,flare,
night,5,salet,doubt,crypt,fight,night,
below,3,salet,bilge,below,,,
proud,4,salet,bingo,chord,proud,,
